timestamp,open,high,low,close,tick_volume,spread,real_volume
2025.09.21 16:00:00,115656.65,115731.05,115195.05,115305.25,1141,30.00,0
2025.09.21 20:00:00,115305.25,115646.55,115238.05,115292.85,1338,30.00,0
2025.09.22 00:00:00,115292.35,115534.95,114263.25,114375.05,4141,30.00,0
2025.09.22 04:00:00,114369.25,114729.25,114128.55,114420.55,6046,30.00,0
2025.09.22 08:00:00,114414.70,114531.75,111602.05,112608.35,9356,30.00,0
2025.09.22 12:00:00,112608.35,112956.55,112151.15,112728.45,4755,30.00,0
2025.09.22 16:00:00,112728.45,113421.95,112370.95,112581.55,7502,30.00,0
2025.09.22 20:00:00,112587.15,112962.05,111916.55,112765.15,5541,30.00,0
2025.09.23 00:00:00,112768.65,112963.95,112354.45,112372.65,3247,30.00,0
2025.09.23 04:00:00,112373.75,112495.65,111468.55,112415.75,5451,30.00,0
2025.09.23 08:00:00,112416.85,113150.55,112404.45,113109.85,4228,30.00,0
2025.09.23 12:00:00,113101.95,113255.15,112669.05,112920.05,3109,30.00,0
2025.09.23 16:00:00,112915.85,113276.95,112458.65,112796.65,7340,30.00,0
2025.09.23 20:00:00,112794.65,112807.25,111431.85,111966.45,7101,30.00,0
2025.09.24 00:00:00,111964.85,112368.95,111784.95,112200.25,3143,30.00,0
2025.09.24 04:00:00,112200.25,112483.55,110985.05,112148.45,6780,30.00,0
2025.09.24 08:00:00,112145.25,112783.05,112115.65,112602.45,3166,30.00,0
2025.09.24 12:00:00,112599.30,113147.95,112476.35,113046.15,2519,30.00,0
2025.09.24 16:00:00,113046.15,113886.25,112804.45,113708.05,7138,30.00,0
2025.09.24 20:00:00,113709.45,113932.95,113272.95,113488.75,3637,30.00,0
2025.09.25 00:00:00,113487.90,113636.95,112953.05,113041.35,3179,30.00,0
2025.09.25 04:00:00,113038.95,113352.35,111567.05,111714.95,8204,30.00,0
2025.09.25 08:00:00,111713.35,112024.55,111425.05,111719.85,4643,30.00,0
2025.09.25 12:00:00,111719.35,112232.05,110987.85,111089.65,5681,30.00,0
2025.09.25 16:00:00,111091.65,111715.05,110587.05,110934.05,10618,30.00,0
2025.09.25 20:00:00,110930.55,110947.55,108596.85,109155.05,11195,30.00,0
2025.09.26 00:00:00,109160.55,109672.45,108732.55,109456.45,6567,30.00,0
2025.09.26 04:00:00,109458.95,109782.25,109235.05,109329.55,4608,30.00,0
2025.09.26 08:00:00,109329.55,109612.15,108877.85,109552.45,4993,30.00,0
2025.09.26 12:00:00,109552.45,109675.05,108601.05,109359.15,6245,30.00,0
2025.09.26 16:00:00,109361.15,109767.15,108748.45,109448.45,9710,30.00,0
2025.09.26 20:00:00,109442.70,110290.95,109010.55,109277.85,5268,30.00,0
2025.09.27 00:00:00,109273.55,109668.05,109167.15,109636.65,1837,30.00,0
2025.09.27 04:00:00,109636.65,109727.95,109301.95,109638.45,1787,30.00,0
2025.09.27 08:00:00,109638.45,109674.25,109244.05,109244.05,921,30.00,0
2025.09.27 12:00:00,109244.05,109470.05,109056.45,109385.75,1455,30.00,0
2025.09.27 16:00:00,109385.75,109416.35,109177.05,109375.05,1564,30.00,0
2025.09.27 20:00:00,109379.85,109436.45,109227.45,109373.95,1149,30.00,0
2025.09.28 00:00:00,109373.95,109777.95,109373.95,109608.35,1675,30.00,0
2025.09.28 04:00:00,109611.35,109654.15,109323.35,109361.45,1610,30.00,0
2025.09.28 08:00:00,109361.45,109573.85,109246.65,109490.85,1019,30.00,0
2025.09.28 12:00:00,109490.85,109545.95,109178.95,109298.05,1780,30.00,0
2025.09.28 16:00:00,109302.75,110378.65,109302.75,110212.45,2612,30.00,0
2025.09.28 20:00:00,110205.25,110937.95,110051.85,110799.35,2266,30.00,0
2025.09.29 00:00:00,110800.45,112339.05,110618.35,112250.35,4951,30.00,0
2025.09.29 04:00:00,112250.35,112306.15,111568.65,111785.35,3787,30.00,0
2025.09.29 08:00:00,111787.75,112421.35,111548.35,112083.85,2963,30.00,0
2025.09.29 12:00:00,112086.65,112507.75,111905.75,112011.85,2946,30.00,0
2025.09.29 16:00:00,112007.85,114227.25,111900.05,113623.95,7608,30.00,0
2025.09.29 20:00:00,113617.75,114399.65,113446.65,114233.55,3998,30.00,0
2025.09.30 00:00:00,114233.15,114754.15,113997.55,114499.05,2743,30.00,0
2025.09.30 04:00:00,114496.35,114757.25,114073.35,114079.85,3438,30.00,0
2025.09.30 08:00:00,114079.85,114197.25,113335.05,113427.55,2997,30.00,0
2025.09.30 12:00:00,113422.35,113439.15,112635.05,112983.35,4197,30.00,0
2025.09.30 16:00:00,112976.55,113653.75,112778.65,112824.55,10360,30.00,0
2025.09.30 20:00:00,112822.65,114711.55,112792.55,114620.75,5712,30.00,0
2025.10.01 00:00:00,114624.05,114757.65,113755.15,114226.05,3752,30.00,0
2025.10.01 04:00:00,114233.35,114695.25,114085.05,114276.05,4565,30.00,0
2025.10.01 08:00:00,114276.05,116582.95,114210.45,116099.65,7322,30.00,0
2025.10.01 12:00:00,116101.25,116868.15,115926.75,116379.35,6404,30.00,0
2025.10.01 16:00:00,116379.35,118172.95,116379.25,117509.45,10186,30.00,0
2025.10.01 20:00:00,117505.95,117655.05,116700.05,117517.95,4826,30.00,0
2025.10.02 00:00:00,117517.95,119425.15,117315.95,118420.25,7203,30.00,0
2025.10.02 04:00:00,118419.15,119043.15,118357.85,118640.45,5238,30.00,0
2025.10.02 08:00:00,118642.75,118664.15,118256.60,118651.95,3110,30.00,0
2025.10.02 12:00:00,118651.95,119391.05,118511.15,119385.45,3295,30.00,0
2025.10.02 16:00:00,119387.75,120286.55,118484.95,119712.25,11366,30.00,0
2025.10.02 20:00:00,119711.15,121009.85,119338.65,120621.95,7157,30.00,0
2025.10.03 00:00:00,120616.85,120741.45,120052.15,120112.95,3956,30.00,0
2025.10.03 04:00:00,120111.75,120453.95,119798.45,120021.15,3891,30.00,0
2025.10.03 08:00:00,120021.15,120070.85,119219.85,120025.35,3127,30.00,0
2025.10.03 12:00:00,120025.35,120497.65,119988.85,120333.35,3466,30.00,0
2025.10.03 16:00:00,120331.65,123884.95,119862.75,122529.45,13571,30.00,0
2025.10.03 20:00:00,122528.25,123106.05,121464.55,122426.45,14017,30.00,0
2025.10.04 00:00:00,122431.25,122645.65,121962.65,122089.05,2580,30.00,0
2025.10.04 04:00:00,122089.05,122516.95,121665.05,122480.45,3245,30.00,0
2025.10.04 08:00:00,122480.75,122780.95,122184.25,122259.35,2283,30.00,0
2025.10.04 12:00:00,122259.35,122444.35,121941.05,121993.75,1768,30.00,0
2025.10.04 16:00:00,121993.75,122489.05,121585.05,121706.45,3949,30.00,0
2025.10.04 20:00:00,121701.15,122085.65,121508.35,121876.35,1828,30.00,0
2025.10.05 00:00:00,121872.55,122407.25,121859.05,122138.95,1434,30.00,0
2025.10.05 04:00:00,122138.95,125765.05,122117.25,125192.05,9307,30.00,0
2025.10.05 08:00:00,125197.55,125439.15,124521.55,124581.35,6145,30.00,0
2025.10.05 12:00:00,124581.35,124648.05,122506.15,123078.45,8625,30.00,0
2025.10.05 16:00:00,123087.85,123334.35,122304.45,123245.55,4246,30.00,0
2025.10.05 20:00:00,123245.90,123454.45,122467.65,122705.95,4842,30.00,0
2025.10.06 00:00:00,122699.75,124352.95,122486.15,123343.85,5872,30.00,0
2025.10.06 04:00:00,123343.85,124229.45,123185.05,123565.75,6254,30.00,0
2025.10.06 08:00:00,123565.75,124159.85,123267.35,123825.95,5188,30.00,0
2025.10.06 12:00:00,123827.15,124668.55,123720.35,124545.85,4983,30.00,0
2025.10.06 16:00:00,124547.05,125483.05,124340.25,125442.85,11821,30.00,0
2025.10.06 20:00:00,125442.15,126178.45,125008.75,125181.25,7164,30.00,0
2025.10.07 00:00:00,125184.95,125263.65,124488.75,124873.85,4659,30.00,0
2025.10.07 04:00:00,124869.45,125051.15,124079.35,124480.05,4967,30.00,0
2025.10.07 08:00:00,124478.95,124613.85,123299.25,123848.85,5491,30.00,0
2025.10.07 12:00:00,123847.65,125084.95,123846.45,124887.15,4262,30.00,0
2025.10.07 16:00:00,124891.85,125026.45,120812.20,121713.95,18575,30.00,0
2025.10.07 20:00:00,121714.30,122195.05,120590.55,121944.75,9032,30.00,0
2025.10.08 00:00:00,121948.55,122284.95,121255.05,121906.15,6042,30.00,0
2025.10.08 04:00:00,121901.45,122214.75,121056.85,121884.15,6063,30.00,0
2025.10.08 08:00:00,121886.55,122847.85,121047.65,122373.95,6687,30.00,0
2025.10.08 12:00:00,122375.80,123188.45,122361.35,122613.95,5628,30.00,0
2025.10.08 16:00:00,122617.25,123346.35,121656.85,123030.95,12980,30.00,0
2025.10.08 20:00:00,123030.35,124179.55,122793.55,122835.55,9173,30.00,0
2025.10.09 00:00:00,122830.25,123509.95,122780.25,122817.35,3154,30.00,0
2025.10.09 04:00:00,122822.25,122841.35,121445.05,122126.35,5606,30.00,0
2025.10.09 08:00:00,122126.35,122184.95,121124.05,121235.35,5297,30.00,0
2025.10.09 12:00:00,121241.15,123747.25,121241.15,123535.05,6293,30.00,0
